File, Target_ID, RA, DEC, X, Y, SNR
20250123143242045_7838_205600_solved.fits, 316757415788505600, 20.004839, 32.885986, 645.4907801235872, 633.1686460362973, 69.0944197814093
20250123143338568_7838_264928_solved.fits, 371789445932364928, 20.002414, 40.394804, 636.7421172108457, 630.1132923734834, 56.49384488522935
20250123143454598_7838_282464_solved.fits, 405593724769982464, 25.251536, 50.110938, 625.0732822426903, 622.5375186230116, 47.350906613054605
20250123143612996_7838_201888_solved.fits, 456224448523701888, 32.002399, 54.392669, 591.5947691451604, 630.9286254353176, 10.602740123049667
20250123143724106_7838_295776_solved.fits, 454715338755995776, 40.002224, 56.355558, 578.6175415119419, 647.6697880902827, 41.406782078151224
20250123143809338_7838_255552_solved.fits, 445860593658855552, 48.558129, 51.504041, 591.714459776912, 629.5996111365447, 78.20535781045247
20250123143910973_7838_280192_solved.fits, 469978793533480192, 60.02307, 58.173939, 544.433663475359, 650.6769196472547, 53.940804401267215
20250123144020159_7838_261088_solved.fits, 469970817770761088, 60.607847, 58.244008, 545.977714391754, 621.9510604596757, 53.1427238578284
20250123144115976_7838_278144_solved.fits, 488356919930678144, 57.224964, 65.533224, 525.248692235652, 625.2702451911406, 12.485805990249386
20250123144219865_7838_265824_solved.fits, 489199523794365824, 61.540302, 66.223157, 515.97453951185, 632.8131875605612, 42.60562245113031
20250123144330533_7838_212512_solved.fits, 493139662370512512, 51.641511, 69.306508, 520.0670646485341, 633.747255188749, 55.95776980985832
20250123144427374_7838_269536_solved.fits, 467850035940769536, 45.758056, 63.994336, 557.6568767096641, 634.6202766663525, 223.06560114074185
20250123144503022_7838_225664_solved.fits, 467638689195825664, 41.475697, 63.66022, 561.1810285980006, 647.6502908276377, 15.33247298672839
20250123144615681_7838_224448_solved.fits, 513930052870024448, 34.766722, 62.792876, 575.3129769308111, 632.8395294793447, 57.220270916099956
20250123144644472_7838_209280_solved.fits, 505808059248609280, 27.134325, 58.001381, 584.4712898796604, 629.5612589105903, 18.54357851632021
20250123144725054_7838_258112_solved.fits, 405715392602858112, 24.002949, 49.811549, 614.4017086743658, 624.7969636577682, 63.85445771845841
20250123144803929_7838_234240_solved.fits, 505808304072634240, 27.142553, 58.047492, 582.0005190681413, 610.765264159139, 1.4244492346539657
20250123144907471_7838_258528_solved.fits, 505808235353158528, 27.159998, 58.035286, 600.7385523080936, 615.0747954019752, 1.37631018426698
20250123145018249_7838_210624_solved.fits, 403635876813610624, 20.005223, 49.798739, 619.7815331725651, 631.7788204730999, 130.9144344701375
20250123145048498_7838_265280_solved.fits, 397503591229665280, 20.004565, 44.31828, 629.1529434440747, 623.3203131363642, 26.24034650820372
20250123145155063_7838_298752_solved.fits, 410726558584698752, 20.002259, 54.280851, 611.2045819386308, 639.8156379500056, 23.769273984476527
20250123145301918_7838_273472_solved.fits, 413787633322073472, 20.003065, 57.729926, 602.020787602754, 619.9865389899347, 25.950364327737148
20250123145355898_7838_276064_solved.fits, 413825635193576064, 20.075752, 58.12736, 606.9630699297581, 620.9104207233149, 11.526517646021606
20250123145508086_7838_233760_solved.fits, 413825772632533760, 20.01989, 58.117405, 598.040051811145, 625.7454801179924, 44.0969291455553
20250123145607935_7838_286752_solved.fits, 405088572196586752, 16.003798, 52.777429, 618.4588811730858, 643.4583364075643, 64.89110075570183
20250123145651044_7838_230784_solved.fits, 320214211627030784, 20.0117, 34.666537, 645.3854451419814, 645.1606800503331, 112.78798303641773
20250123145723797_7838_288832_solved.fits, 370889117707288832, 16.009786, 39.404601, 642.0031118662208, 631.4738919783117, 98.3231437921769
20250123145812366_7838_234624_solved.fits, 293680552212234624, 20.010058, 24.804272, 656.5816772221382, 629.3857079644519, 70.7391269954961
20250123145906638_7838_207648_solved.fits, 95730216822907648, 24.014027, 18.639027, 657.3847589272507, 613.5401288744453, 54.72232154610542
