target_id,RA,Dec,mag1,mag2,author,snr,count
1148710271993644800,114.80439211357024,82.29336675150792,12.019324,12.019324,ch,100,3
2743859686914413824,356.0239462882428,4.072782028222647,12.706003,12.706003,ch,100,3
2584105629560471424,16.000037902084358,11.771099683076317,10.778257,10.778257,ch,100,3
1121323434506486272,144.60298701214535,74.8473286945995,11.508126,11.508126,ch,100,3
1148596854793074688,124.71770977515126,82.50091136879749,11.624479,11.624479,ch,100,3
493139662370512512,51.64151108110709,69.30650787558076,12.617033,12.617033,ch,100,3
1151832476995874688,122.47228190471633,86.09554588985107,12.943666,12.943666,ch,100,3
530854251233490048,0.5954752451657013,70.6185670624771,10.61274,10.61274,ch,100,3
331732141388515456,36.0158460400968,38.28647088845923,12.511716,12.511716,ch,100,3
2481296168467157888,24.018962276137835,-3.535310553936746,11.670871,11.670871,ch,100,3
1151440329301189632,176.339888110145,87.2628330115067,12.26682,12.26682,ch,100,3
1150509352190575616,96.12739870367813,86.02404469641564,11.20551,11.20551,ch,100,3
330660568523901056,32.007141665874215,37.38189215299162,12.663472,12.663472,ch,100,3
1656203715064003840,253.8063519641336,74.01552226938966,12.449382,12.449382,ch,100,3
340021295127039104,36.00273874742413,44.918712295587234,11.188453,11.188453,ch,100,3
1125889775016318592,134.41405138032596,78.00545755727205,12.879112,12.879112,ch,100,3
1148580946234283264,120.60853254536336,82.27128272116265,10.758879,10.758879,ch,100,3
552898669094146048,71.15143065987989,77.52544246739038,12.77275,12.77275,ch,100,3
1151475066996771712,163.3734841662004,87.24110735062891,12.43843,12.43843,ch,100,3
112083498079138688,48.00093075122736,25.293634171926968,12.839868,12.839868,ch,100,3
2558609947777131520,24.010422378625456,1.3079571996469437,12.806974,12.806974,ch,100,3
557277267992885120,84.70850474525555,82.0536399714384,11.21501,11.21501,ch,100,3
467638689195825664,41.47569690559782,63.66022010019236,12.902344,12.902344,ch,100,3
1938952579078538624,356.0036038401918,46.17176294162583,12.954958,12.954958,ch,100,3
1128389171104559232,166.00019899575878,76.97710020727622,11.710256,11.710256,ch,100,3
1942476303389000448,348.00275518326026,47.919499099089485,12.812278,12.812278,ch,100,3
1717091370475368704,185.571683468604,77.56387264472944,12.441458,12.441458,ch,100,3
307643323387517440,16.004718657180742,27.77441470792652,11.86642,11.86642,ch,100,3
575352345800076928,30.284627082542247,86.13260747778124,11.3998785,11.3998785,ch,100,3
2281336617316170624,349.34269299159746,77.29075165135646,10.769865,10.769865,ch,100,3
1930524513211943424,348.0074148039543,41.55920227728935,11.792845,11.792845,ch,100,3
2224073570705155072,323.2459598520363,70.06813775272806,11.656848,11.656848,ch,100,3
2212020071408541696,348.28439927800184,66.4132504561341,11.204284,11.204284,ch,100,3
1149939324131420800,93.41014317398292,84.48618652922791,11.137897,11.137897,ch,100,3
1654758647548106496,252.177677159652,74.02325442108831,12.311618,12.311618,ch,100,3
445860593658855552,48.5581287297922,51.50404117700732,12.453368,12.453368,ch,100,3
1706036640051484544,250.19000641754064,78.00913589255899,12.341848,12.341848,ch,100,3
575054618668143360,53.9428661469027,86.42965301565673,12.801116,12.801116,ch,100,3
2287188527435974528,341.989600144658,82.09782821632655,12.991257,12.991257,ch,100,3
1148715116716754048,114.36637223322955,82.36232515471958,12.494877,12.494877,ch,100,3
555371913124386816,47.25864808698846,77.96314716887868,12.521571,12.521571,ch,100,3
2504535622325752320,28.03865959497173,-2.7926289343780857,12.830472,12.830472,ch,100,3
1657311434373073920,268.5970865572378,78.00395206989282,11.735999,11.735999,ch,100,3
