File, Target_ID, RA, DEC, X, Y, SNR
20250123160731132_7836_559840_solved.fits, 2286684160834659840, 359.256835, 82.395426, 400.4686811931171, 504.4897705183668, 96.6953326586686
20250123160757315_7836_570624_solved.fits, 2281336617316170624, 349.342693, 77.290752, 408.62158401223445, 500.0005528660639, 51.17524301073335
20250123160819478_7836_553984_solved.fits, 2282352531699753984, 346.096593, 77.938802, 417.96208431336777, 478.42498732566065, 73.54346217860424
20250123160846134_7836_595872_solved.fits, 2301309550973695872, 352.187334, 86.544692, 410.6625968825691, 478.7725072686039, 1.8182690235723857
20250123160920869_7836_531680_solved.fits, 2286755285494231680, 338.53261, 80.627744, 429.496428855269, 480.4869065417509, 128.04815750939125
20250123160944361_7836_541696_solved.fits, 2212020071408541696, 348.284399, 66.41325, 414.7098487698252, 489.26548716674785, 42.719303364348214
20250123161016472_7836_502848_solved.fits, 530846485932702848, 0.741474, 70.473145, 388.494446001249, 514.6756569660482, 28.343435605978968
20250123161047754_7836_590048_solved.fits, 530854251233490048, 0.595475, 70.618567, 394.64916431121355, 495.61371431549003, 114.68061035635876
20250123161110701_7836_505440_solved.fits, 530873046011005440, 6.439277, 69.767235, 380.46164541004265, 522.1727962067234, 106.77342904896804
20250123161143290_7836_568320_solved.fits, 530915510347368320, 5.616106, 70.091639, 384.90977423119, 511.07166603002156, 28.06456972276119
20250123161232628_7836_559072_solved.fits, 574189711036259072, 7.325148, 86.768158, 387.5468895149387, 522.4106674091586, 105.51269655970223
20250123161307858_7836_533440_solved.fits, 525762687763933440, 18.879936, 67.334355, 373.8091379432553, 507.5768892499132, 90.54601806448694
20250123161402926_7836_509280_solved.fits, 505808059248609280, 27.134325, 58.001381, 358.98918813836366, 532.1072542878845, 9.363077059484219
20250123161452503_7836_534240_solved.fits, 505808304072634240, 27.142553, 58.047492, 356.78566323339714, 512.7736415692917, 1.280286311938682
20250123161538657_7836_524448_solved.fits, 513930052870024448, 34.766722, 62.792876, 364.17946678054784, 546.6479404382596, 48.620681746606046
20250123161612152_7836_595776_solved.fits, 454715338755995776, 40.002224, 56.355558, 356.37127207841644, 570.1197775000581, 39.62800148212741
20250123161644513_7836_569536_solved.fits, 467850035940769536, 45.758056, 63.994336, 356.9957909776829, 563.5190742755946, 112.41404425890117
20250123161707407_7836_575712_solved.fits, 561609893563075712, 37.39234, 78.478495, 352.880512601797, 556.8859909422695, 91.62241347549921
20250123161745696_7836_546112_solved.fits, 561580855286346112, 38.452714, 78.104848, 355.3199404771705, 547.4318013172359, 99.72622313549283
20250123161826742_7836_504608_solved.fits, 572099062692804608, 32.331912, 82.014958, 355.56143606514854, 533.6239472553084, 82.07818960896236
20250123161904941_7836_574688_solved.fits, 574755719006674688, 41.697748, 86.619195, 350.5838693885377, 546.8199598537017, 68.96389244945752
20250123161940642_7836_512800_solved.fits, 571147435378812800, 50.42486, 84.080011, 344.27485581585046, 577.6097403427696, 5.7195903736839355
20250123162015504_7836_585984_solved.fits, 571175953961785984, 53.561767, 84.250462, 346.0436400246687, 595.2576422147367, 110.34137960407305
20250123162049973_7836_588448_solved.fits, 554167879173688448, 56.613796, 76.796022, 340.94882857790566, 581.0246424864985, 112.19112519168604
20250123162127577_7836_524832_solved.fits, 554730833421224832, 63.690054, 78.275768, 342.76518022101135, 601.9941914955363, 129.82462570071547
20250123162152898_7836_585088_solved.fits, 497071653390185088, 68.065121, 70.463163, 347.17234829659577, 614.4793189363261, 120.09336073879486
